team,games,wins,win_pct,covers,cover_pct,win_rating,spread_rating,value_score
Detroit Mercy Titans,12,4,0.3333333333333333,8,0.6666666666666666,0.07155816509058477,0.17405714115090418,0.10249897606031941
Massachusetts Minutemen,10,6,0.6,6,0.6,0.3053695434132836,0.1740060361170609,-0.1313635072962227
Kentucky Wildcats,14,9,0.6428571428571429,6,0.42857142857142855,0.4173330643028224,0.17345522814774733,-0.24387783615507508
NJIT Highlanders,11,4,0.36363636363636365,6,0.5454545454545454,0.07151419116538113,0.17310695559900213,0.101592764433621
Western Illinois Leathernecks,12,1,0.08333333333333333,6,0.5,0.024906354190435326,0.17233519721434418,0.14742884302390885
St. Thomas (MN) Tommies,12,8,0.6666666666666666,4,0.3333333333333333,0.3057436120904747,0.17220669336995778,-0.1335369187205169
Clemson Tigers,14,11,0.7857142857142857,7,0.5,0.4686003375512658,0.17203867792432143,-0.29656165962694436
Georgia Tech Yellow Jackets,13,9,0.6923076923076923,7,0.5384615384615384,0.3471846763875966,0.17145376703228202,-0.17573090935531457
South Dakota Coyotes,11,3,0.2727272727272727,5,0.45454545454545453,0.11189856149113526,0.1713036487047009,0.05940508721356565
Kansas St Wildcats,14,9,0.6428571428571429,6,0.42857142857142855,0.3570711182578134,0.17075831584819515,-0.18631280240961826
Western Kentucky Hilltoppers,11,6,0.5454545454545454,6,0.5454545454545454,0.24314497016101763,0.17039109723147847,-0.07275387292953917
Georgia Southern Eagles,13,8,0.6153846153846154,9,0.6923076923076923,0.16216283605616502,0.16971669597139993,0.007553859915234912
UC Irvine Anteaters,14,9,0.6428571428571429,6,0.42857142857142855,0.3157579496278559,0.1688953278938398,-0.14686262173401612
Missouri St Bears,11,5,0.45454545454545453,5,0.45454545454545453,0.14567274504243347,0.1676532402111332,0.021980495168699737
Duquesne Dukes,12,7,0.5833333333333334,5,0.4166666666666667,0.27629448795503714,0.16595913226367617,-0.11033535569136096
Texas Tech Red Raiders,14,11,0.7857142857142857,6,0.42857142857142855,0.6333564712393498,0.16564522221941333,-0.46771124901993644
Delaware St Hornets,9,2,0.2222222222222222,5,0.5555555555555556,0.053745694225378116,0.16541529069644131,0.1116695964710632
Fairleigh Dickinson Knights,8,1,0.125,3,0.375,0.06493728743277453,0.16507302047248337,0.10013573303970884
Troy Trojans,13,8,0.6153846153846154,8,0.6153846153846154,0.2849523301116032,0.16422021049501154,-0.12073211961659167
North Carolina Central Eagles,10,1,0.1,6,0.6,0.0406891488127863,0.1638360593983959,0.12314691058560961
